[2024-01-31T18:01:39.983Z] Starting monitor process...
[2024-01-31T18:01:39.990Z] Received message: [{"type":"configure","sequence":0,"options":{"cwd":"/home/nmurray/code/spotrflow","dockerCLI":"docker","env":{"BASHRC":"/home/nmurray/.config/bash/bashrc","CHROME_DESKTOP":"code-url-handler.desktop","DBUS_SESSION_BUS_ADDRESS":"unix:path=/run/user/798000122/bus","DESKTOP_SESSION":"ubuntu","DISPLAY":":1","EDITOR":"nvim","GDK_BACKEND":"x11","GDMSESSION":"ubuntu","GIO_LAUNCHED_DESKTOP_FILE":"/usr/share/applications/code.desktop","GIO_LAUNCHED_DESKTOP_FILE_PID":"2266651","GJS_DEBUG_OUTPUT":"stderr","GJS_DEBUG_TOPICS":"JS ERROR;JS LOG","GNOME_DESKTOP_SESSION_ID":"this-is-deprecated","GNOME_SHELL_SESSION_MODE":"ubuntu","GPG_AGENT_INFO":"/run/user/798000122/gnupg/S.gpg-agent:0:1","GTK_IM_MODULE":"ibus","GTK_MODULES":"gail:atk-bridge","HISTCONTROL":"ignorespace:ignoredups","HISTFILE":"/home/nmurray/.local/state/bash/history","HISTFILESIZE":"200000","HISTSIZE":"10000","HISTTIMEFORMAT":"%h/%d - %H:%M:%S ","HOME":"/home/nmurray","IM_CONFIG_PHASE":"1","INPUTRC":"/home/nmurray/.config/readline/inputrc","INVOCATION_ID":"79b1ce68d9834d70a52ee39f61fbf1ad","JOURNAL_STREAM":"8:54264","KRB5CCNAME":"KEYRING:persistent:798000122","LANG":"en_US.UTF-8","LD_LIBRARY_PATH":"/usr/local/cuda-11.8/lib64:/usr/local/cuda-11.8/lib64","LESSCLOSE":"/usr/bin/lesspipe %s %s","LESSOPEN":"| /usr/bin/lesspipe %s","LOGNAME":"nmurray","LS_COLORS":"bd=38;5;68:ca=38;5;17:cd=38;5;113;1:di=33;01;31:do=38;5;127:ex=38;5;208;1:pi=38;5;126:fi=0:ln=target:mh=38;5;222;1:no=38;5;208;1:or=48;5;196;38;5;232;1:ow=38;5;220;1:sg=48;5;3;38;5;0:su=38;5;220;1;3;100;1:so=38;5;197:st=38;5;86;48;5;234:tw=48;5;235;38;5;139;3:*LS_COLORS=48;5;89;38;5;197;1;3;4;7:*.txt=38;5;253:","MANAGERPID":"4465","MANPAGER":"sh -c 'col -bx | bat --theme \"Solarized (dark)\" -l man -p'","NVM_BIN":"/home/nmurray/.config/nvm/versions/node/v20.4.0/bin","NVM_DIR":"/home/nmurray/.config/nvm","NVM_INC":"/home/nmurray/.config/nvm/versions/node/v20.4.0/include/node","ORIGINAL_XDG_CURRENT_DESKTOP":"ubuntu:GNOME","PATH":"/home/nmurray/.local/bin:/home/nmurray/.config/nvm/versions/node/v20.4.0/bin:/usr/local/cuda-11.8/bin:/home/nmurray/.cargo/bin:/home/nmurray/.local/bin:/usr/local/cuda-11.8/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin:/home/nmurray/.local/share/python/bin:/home/nmurray/.local/bin:/home/nmurray/.local/share/python/bin:/home/nmurray/.local/share/python/bin","PS1":"\\[\\033[01;31m\\]\\d-\\t\\[\\033[00m\\]:\\[\\033[01;33m\\]\\w\\[\\033[35m\\] (`git branch --show-current 2>/dev/null`)\\[\\033[00m\\]\\n$ ","PWD":"/home/nmurray","PYTHONPYCACHEPREFIX":"/home/nmurray/.cache/python","PYTHONSTARTUP":"/home/nmurray/.config/python/site.py","PYTHONUSERBASE":"/home/nmurray/.local/share/python","QT_ACCESSIBILITY":"1","QT_IM_MODULE":"ibus","SESSION_MANAGER":"local/dev-nmurray02:@/tmp/.ICE-unix/5513,unix/dev-nmurray02:/tmp/.ICE-unix/5513","SHELL":"/bin/bash","SHLVL":"0","SSH_AGENT_LAUNCHER":"gnome-keyring","SSH_AUTH_SOCK":"/run/user/798000122/keyring/ssh","SYSTEMD_EXEC_PID":"5534","USER":"nmurray","USERNAME":"nmurray","VISUAL":"nvim-qt","VSCODE_AMD_ENTRYPOINT":"vs/workbench/api/node/extensionHostProcess","VSCODE_CODE_CACHE_PATH":"/home/nmurray/.config/Code/CachedData/0ee08df0cf4527e40edc9aa28f4b5bd38bbff2b2","VSCODE_CRASH_REPORTER_PROCESS_TYPE":"extensionHost","VSCODE_CWD":"/home/nmurray","VSCODE_HANDLES_UNCAUGHT_ERRORS":"true","VSCODE_IPC_HOOK":"/run/user/798000122/vscode-a395ce48-1.85-main.sock","VSCODE_NLS_CONFIG":"{\"locale\":\"en-us\",\"osLocale\":\"en-us\",\"availableLanguages\":{},\"_languagePackSupport\":true}","VSCODE_PID":"2266651","WINDOWPATH":"2","XAUTHORITY":"/run/user/798000122/gdm/Xauthority","XDG_CACHE_HOME":"/home/nmurray/.cache","XDG_CONFIG_DIRS":"/etc/xdg/xdg-ubuntu:/etc/xdg","XDG_CONFIG_HOME":"/home/nmurray/.config","XDG_CURRENT_DESKTOP":"Unity","XDG_DATA_DIRS":"/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop","XDG_DATA_HOME":"/home/nmurray/.local/share","XDG_MENU_PREFIX":"gnome-","XDG_RUNTIME_DIR":"/run/user/798000122","XDG_SESSION_CLASS":"user","XDG_SESSION_DESKTOP":"ubuntu","XDG_SESSION_TYPE":"x11","XDG_STATE_HOME":"/home/nmurray/.local/state","XMODIFIERS":"@im=ibus","_":"/usr/share/code/code","ELECTRON_RUN_AS_NODE":"1","SSH_ASKPASS":"/home/nmurray/.vscode/extensions/ms-vscode-remote.remote-containers-0.327.0/scripts/ssh-askpass.sh","SSH_ASKPASS_REQUIRE":"force","VSCODE_SSH_ASKPASS_NODE":"/usr/share/code/code","VSCODE_SSH_ASKPASS_EXTRA_ARGS":"--ms-enable-electron-run-as-node","VSCODE_SSH_ASKPASS_MAIN":"/home/nmurray/.vscode/extensions/ms-vscode-remote.remote-containers-0.327.0/dist/common/sshAskpass.js","VSCODE_SSH_ASKPASS_HANDLE":"/run/user/798000122/ssh-askpass-50266621-c476-4a0a-a51a-0588efc372d0.sock","DOCKER_CONTEXT":"default"},"containerId":"4297a1e11e61ba0a317348ba8bf86ddf065550e8a7d8c14a8583dfcc45dfeeeb","user":"developer","sessionId":"c2913e3f-5963-4ce2-ac85-435abbd86dae1706724098326","logLevel":2,"delay":10000}}]
[2024-01-31T18:01:40.389Z] Received message: [{"type":"configure","sequence":1,"options":{"cwd":"/home/nmurray/code/spotrflow","dockerCLI":"docker","env":{"BASHRC":"/home/nmurray/.config/bash/bashrc","CHROME_DESKTOP":"code-url-handler.desktop","DBUS_SESSION_BUS_ADDRESS":"unix:path=/run/user/798000122/bus","DESKTOP_SESSION":"ubuntu","DISPLAY":":1","EDITOR":"nvim","GDK_BACKEND":"x11","GDMSESSION":"ubuntu","GIO_LAUNCHED_DESKTOP_FILE":"/usr/share/applications/code.desktop","GIO_LAUNCHED_DESKTOP_FILE_PID":"2266651","GJS_DEBUG_OUTPUT":"stderr","GJS_DEBUG_TOPICS":"JS ERROR;JS LOG","GNOME_DESKTOP_SESSION_ID":"this-is-deprecated","GNOME_SHELL_SESSION_MODE":"ubuntu","GPG_AGENT_INFO":"/run/user/798000122/gnupg/S.gpg-agent:0:1","GTK_IM_MODULE":"ibus","GTK_MODULES":"gail:atk-bridge","HISTCONTROL":"ignorespace:ignoredups","HISTFILE":"/home/nmurray/.local/state/bash/history","HISTFILESIZE":"200000","HISTSIZE":"10000","HISTTIMEFORMAT":"%h/%d - %H:%M:%S ","HOME":"/home/nmurray","IM_CONFIG_PHASE":"1","INPUTRC":"/home/nmurray/.config/readline/inputrc","INVOCATION_ID":"79b1ce68d9834d70a52ee39f61fbf1ad","JOURNAL_STREAM":"8:54264","KRB5CCNAME":"KEYRING:persistent:798000122","LANG":"en_US.UTF-8","LD_LIBRARY_PATH":"/usr/local/cuda-11.8/lib64:/usr/local/cuda-11.8/lib64","LESSCLOSE":"/usr/bin/lesspipe %s %s","LESSOPEN":"| /usr/bin/lesspipe %s","LOGNAME":"nmurray","LS_COLORS":"bd=38;5;68:ca=38;5;17:cd=38;5;113;1:di=33;01;31:do=38;5;127:ex=38;5;208;1:pi=38;5;126:fi=0:ln=target:mh=38;5;222;1:no=38;5;208;1:or=48;5;196;38;5;232;1:ow=38;5;220;1:sg=48;5;3;38;5;0:su=38;5;220;1;3;100;1:so=38;5;197:st=38;5;86;48;5;234:tw=48;5;235;38;5;139;3:*LS_COLORS=48;5;89;38;5;197;1;3;4;7:*.txt=38;5;253:","MANAGERPID":"4465","MANPAGER":"sh -c 'col -bx | bat --theme \"Solarized (dark)\" -l man -p'","NVM_BIN":"/home/nmurray/.config/nvm/versions/node/v20.4.0/bin","NVM_DIR":"/home/nmurray/.config/nvm","NVM_INC":"/home/nmurray/.config/nvm/versions/node/v20.4.0/include/node","ORIGINAL_XDG_CURRENT_DESKTOP":"ubuntu:GNOME","PATH":"/home/nmurray/.local/bin:/home/nmurray/.config/nvm/versions/node/v20.4.0/bin:/usr/local/cuda-11.8/bin:/home/nmurray/.cargo/bin:/home/nmurray/.local/bin:/usr/local/cuda-11.8/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin:/home/nmurray/.local/share/python/bin:/home/nmurray/.local/bin:/home/nmurray/.local/share/python/bin:/home/nmurray/.local/share/python/bin","PS1":"\\[\\033[01;31m\\]\\d-\\t\\[\\033[00m\\]:\\[\\033[01;33m\\]\\w\\[\\033[35m\\] (`git branch --show-current 2>/dev/null`)\\[\\033[00m\\]\\n$ ","PWD":"/home/nmurray","PYTHONPYCACHEPREFIX":"/home/nmurray/.cache/python","PYTHONSTARTUP":"/home/nmurray/.config/python/site.py","PYTHONUSERBASE":"/home/nmurray/.local/share/python","QT_ACCESSIBILITY":"1","QT_IM_MODULE":"ibus","SESSION_MANAGER":"local/dev-nmurray02:@/tmp/.ICE-unix/5513,unix/dev-nmurray02:/tmp/.ICE-unix/5513","SHELL":"/bin/bash","SHLVL":"0","SSH_AGENT_LAUNCHER":"gnome-keyring","SSH_AUTH_SOCK":"/run/user/798000122/keyring/ssh","SYSTEMD_EXEC_PID":"5534","USER":"nmurray","USERNAME":"nmurray","VISUAL":"nvim-qt","VSCODE_AMD_ENTRYPOINT":"vs/workbench/api/node/extensionHostProcess","VSCODE_CODE_CACHE_PATH":"/home/nmurray/.config/Code/CachedData/0ee08df0cf4527e40edc9aa28f4b5bd38bbff2b2","VSCODE_CRASH_REPORTER_PROCESS_TYPE":"extensionHost","VSCODE_CWD":"/home/nmurray","VSCODE_HANDLES_UNCAUGHT_ERRORS":"true","VSCODE_IPC_HOOK":"/run/user/798000122/vscode-a395ce48-1.85-main.sock","VSCODE_NLS_CONFIG":"{\"locale\":\"en-us\",\"osLocale\":\"en-us\",\"availableLanguages\":{},\"_languagePackSupport\":true}","VSCODE_PID":"2266651","WINDOWPATH":"2","XAUTHORITY":"/run/user/798000122/gdm/Xauthority","XDG_CACHE_HOME":"/home/nmurray/.cache","XDG_CONFIG_DIRS":"/etc/xdg/xdg-ubuntu:/etc/xdg","XDG_CONFIG_HOME":"/home/nmurray/.config","XDG_CURRENT_DESKTOP":"Unity","XDG_DATA_DIRS":"/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop","XDG_DATA_HOME":"/home/nmurray/.local/share","XDG_MENU_PREFIX":"gnome-","XDG_RUNTIME_DIR":"/run/user/798000122","XDG_SESSION_CLASS":"user","XDG_SESSION_DESKTOP":"ubuntu","XDG_SESSION_TYPE":"x11","XDG_STATE_HOME":"/home/nmurray/.local/state","XMODIFIERS":"@im=ibus","_":"/usr/share/code/code","ELECTRON_RUN_AS_NODE":"1","SSH_ASKPASS":"/home/nmurray/.vscode/extensions/ms-vscode-remote.remote-containers-0.327.0/scripts/ssh-askpass.sh","SSH_ASKPASS_REQUIRE":"force","VSCODE_SSH_ASKPASS_NODE":"/usr/share/code/code","VSCODE_SSH_ASKPASS_EXTRA_ARGS":"--ms-enable-electron-run-as-node","VSCODE_SSH_ASKPASS_MAIN":"/home/nmurray/.vscode/extensions/ms-vscode-remote.remote-containers-0.327.0/dist/common/sshAskpass.js","VSCODE_SSH_ASKPASS_HANDLE":"/run/user/798000122/ssh-askpass-50266621-c476-4a0a-a51a-0588efc372d0.sock","DOCKER_CONTEXT":"default"},"containerId":"4297a1e11e61ba0a317348ba8bf86ddf065550e8a7d8c14a8583dfcc45dfeeeb","user":"developer","sessionId":"c2913e3f-5963-4ce2-ac85-435abbd86dae1706724098326","logLevel":2,"delay":10000}}]
[2024-01-31T18:02:40.392Z] Received message: []
[2024-01-31T18:03:40.395Z] Received message: []
[2024-01-31T18:04:40.402Z] Received message: []
[2024-01-31T18:05:40.406Z] Received message: []
[2024-01-31T18:06:40.410Z] Received message: []
[2024-01-31T18:07:40.412Z] Received message: []
[2024-01-31T18:08:40.416Z] Received message: []
[2024-01-31T18:09:40.420Z] Received message: []
